stage,object_type,name,bytes,relpath
2.1_CreateSystemMessages,SystemMessages,CreateSystemMessages,495383,2.1_CreateSystemMessages\CreateSystemMessages.sql
3.0_CreateUDF,UDF,sdiudf_PA_GetCartonStatus,888,3.0_CreateUDF\sdiudf_PA_GetCartonStatus.sql
3.0_CreateUDF,UDF,sdiudf_PA_GetLabelDataFromPID,855,3.0_CreateUDF\sdiudf_PA_GetLabelDataFromPID.sql
3.0_CreateUDF,UDF,sdiudf_PA_GetPandaIDFromRecID,859,3.0_CreateUDF\sdiudf_PA_GetPandaIDFromRecID.sql
3.0_CreateUDF,UDF,sdiudf_PA_GetPrinterRecIDFromConnections,950,3.0_CreateUDF\sdiudf_PA_GetPrinterRecIDFromConnections.sql
3.0_CreateUDF,UDF,sdiudf_PA_GetRecIDFromPandaID,838,3.0_CreateUDF\sdiudf_PA_GetRecIDFromPandaID.sql
3.0_CreateUDF,UDF,sdiudf_PA_GetRecIDFromPrinterID,900,3.0_CreateUDF\sdiudf_PA_GetRecIDFromPrinterID.sql
4.0_CreateSynonyms,Synonym,rtisp_ccm_LPNVerifiedByPanda,254,4.0_CreateSynonyms\rtisp_ccm_LPNVerifiedByPanda.sql
4.0_CreateSynonyms,Synonym,sdisp_DB2VLC_Send_CE1,225,4.0_CreateSynonyms\sdisp_DB2VLC_Send_CE1.sql
4.0_CreateSynonyms,Synonym,sdisp_DB2VLC_Send_CE2,225,4.0_CreateSynonyms\sdisp_DB2VLC_Send_CE2.sql
4.0_CreateSynonyms,Synonym,sdisp_DB2VLC_Send_CE3,225,4.0_CreateSynonyms\sdisp_DB2VLC_Send_CE3.sql
4.0_CreateSynonyms,Synonym,sdisp_DB2VLC_Send_CE4,225,4.0_CreateSynonyms\sdisp_DB2VLC_Send_CE4.sql
4.0_CreateSynonyms,Synonym,sdisp_DB2VLC_Send_CE5,225,4.0_CreateSynonyms\sdisp_DB2VLC_Send_CE5.sql
4.0_CreateSynonyms,Synonym,sdisp_DB2VLC_Send_CE6,225,4.0_CreateSynonyms\sdisp_DB2VLC_Send_CE6.sql
4.0_CreateSynonyms,Synonym,sdisp_HI_ACK_ReadyPandALabel,254,4.0_CreateSynonyms\sdisp_HI_ACK_ReadyPandALabel.sql
4.0_CreateSynonyms,Synonym,sdisp_HI_ACK_ZPLFile,222,4.0_CreateSynonyms\sdisp_HI_ACK_ZPLFile.sql
4.0_CreateSynonyms,Synonym,sdisp_HI_Ins_OrderWaveStatus,254,4.0_CreateSynonyms\sdisp_HI_Ins_OrderWaveStatus.sql
4.0_CreateSynonyms,Synonym,sdisp_HI_Ins_PandAVerify,238,4.0_CreateSynonyms\sdisp_HI_Ins_PandAVerify.sql
4.0_CreateSynonyms,Synonym,sdisp_HI_PandA_ACK_InboundLabelData,283,4.0_CreateSynonyms\sdisp_HI_PandA_ACK_InboundLabelData.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Insert_CE1,231,4.0_CreateSynonyms\sdisp_TCP_TX_Insert_CE1.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Insert_CE2,231,4.0_CreateSynonyms\sdisp_TCP_TX_Insert_CE2.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Insert_CE3,231,4.0_CreateSynonyms\sdisp_TCP_TX_Insert_CE3.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Insert_CE4,231,4.0_CreateSynonyms\sdisp_TCP_TX_Insert_CE4.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Insert_CE5,231,4.0_CreateSynonyms\sdisp_TCP_TX_Insert_CE5.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Insert_CE6,231,4.0_CreateSynonyms\sdisp_TCP_TX_Insert_CE6.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Insert_CE7,231,4.0_CreateSynonyms\sdisp_TCP_TX_Insert_CE7.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Response_CE1,239,4.0_CreateSynonyms\sdisp_TCP_TX_Response_CE1.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Response_CE2,239,4.0_CreateSynonyms\sdisp_TCP_TX_Response_CE2.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Response_CE3,239,4.0_CreateSynonyms\sdisp_TCP_TX_Response_CE3.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Response_CE4,239,4.0_CreateSynonyms\sdisp_TCP_TX_Response_CE4.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Response_CE5,239,4.0_CreateSynonyms\sdisp_TCP_TX_Response_CE5.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Response_CE6,239,4.0_CreateSynonyms\sdisp_TCP_TX_Response_CE6.sql
4.0_CreateSynonyms,Synonym,sdisp_TCP_TX_Response_CE7,239,4.0_CreateSynonyms\sdisp_TCP_TX_Response_CE7.sql
